sigun,sodium,metal,led,data_std_de,total
가평군,7.0,6186.0,4438.0,20260106,10631.0
고양시,3364.0,11019.0,66.0,20160906,14449.0
과천시,123.0,3.0,1826.0,20260121,1952.0
광명시,1809.0,11.0,720.0,20250718,2540.0
광주시,0.0,12892.0,423.0,20190930,13315.0
구리시,36.0,4.0,3341.0,20251031,3381.0
군포시,0.0,50.0,2250.0,20250718,2300.0
김포시,0.0,9342.0,514.0,20160906,9856.0
남양주시,2137.0,0.0,12728.0,20260401,14865.0
부천시,299.0,3341.0,10914.0,20250701,14554.0
성남시,8053.0,6043.0,182.0,20160906,14278.0
수원시,178.0,4866.0,11952.0,,16996.0
시흥시,3178.0,2158.0,5341.0,,10677.0
안산시,6500.0,2393.0,897.0,20160906,9790.0
안성시,0.0,0.0,17868.0,,17868.0
안양시,0.0,0.0,6471.0,20250716,6471.0
양주시,11595.0,0.0,705.0,,12300.0
양평군,177.0,7.0,15021.0,,15205.0
여주시,163.0,20.0,1035.0,,1218.0
연천군,79.0,3054.0,2386.0,,5519.0
용인시,6043.0,11698.0,433.0,20160906,18174.0
의왕시,1020.0,1056.0,80.0,,2156.0
의정부시,796.0,345.0,3819.0,,4960.0
이천시,0.0,0.0,18925.0,20260309,18925.0
평택시,1183.0,0.0,85.0,20250701,1268.0
포천시,2386.0,5.0,9269.0,,11660.0
하남시,1700.0,2653.0,20.0,20160906,4373.0
