addr,instl_cnt,lat,lon
경기도 가평군 청평면 호명리산122-8,1,37.712706,127.45634
경기도 가평군 청평면 호명리산164,1,37.713403,127.45628
경기도 가평군 청평면 호명리산122-50,1,37.715586,127.457522
경기도 가평군 청평면 호명리261-9,1,37.716461,127.457924
경기도 가평군 청평면 상천리584-3,1,37.772257,127.451298
경기도 가평군 청평면 호명리456,1,37.71661,127.457542
경기도 가평군 청평면 호명리258-1,1,37.717094,127.457245
경기도 가평군 청평면 호명리227-1,1,37.717367,127.456771
경기도 가평군 청평면 호명리436,1,37.71816,127.456868
경기도 가평군 청평면 호명리261-8,1,37.716833,127.458223
경기도 김포시 북변동  308,1,37.6285424,126.7082409
경기도 가평군 청평면 호명리192-9,1,37.717024,127.458759
경기도 가평군 청평면 호명리192-5,1,37.717365,127.458946
경기도 가평군 청평면 호명리192-5,1,37.717732,127.45929
경기도 가평군 청평면 호명리192-11,1,37.718094,127.459656
경기도 가평군 청평면 호명리192-3,1,37.718456,127.459969
경기도 가평군 청평면 상천리584-3,1,37.771951,127.450624
경기도 가평군 청평면 호명리192-1,1,37.71883,127.46032
경기도 가평군 청평면 호명리434,1,37.719257,127.460655
경기도 가평군 청평면 호명리204-4,1,37.719755,127.460871
경기도 가평군 청평면 호명리196,1,37.720085,127.460899
경기도 가평군 청평면 호명리198-1,1,37.720603,127.460945
경기도 가평군 청평면 호명리433,1,37.72089,127.461289
경기도 가평군 청평면 호명리428,1,37.721226,127.461655
경기도 가평군 청평면 호명리178-5,1,37.720743,127.462112
경기도 가평군 청평면 호명리155-1,1,37.721965,127.461936
경기도 가평군 청평면 호명리157-17,1,37.722847,127.462074
경기도 가평군 청평면 상천리산93-2,1,37.77155,127.449747
경기도 가평군 청평면 호명리146-146,1,37.723516,127.461718
경기도 가평군 청평면 호명리428,1,37.723904,127.461319
경기도 가평군 청평면 호명리144-15,1,37.724178,127.460541
경기도 가평군 청평면 호명리146-56,1,37.724783,127.458898
경기도 가평군 청평면 호명리146-96,1,37.725205,127.457916
경기도 가평군 청평면 호명리175-18,1,37.721448,127.462527
경기도 가평군 청평면 호명리175-4,1,37.722733,127.46331
경기도 가평군 청평면 호명리170,1,37.723986,127.463938
경기도 가평군 청평면 호명리426,1,37.724563,127.46399
경기도 가평군 청평면 호명리140-6,1,37.725012,127.463579
경기도 가평군 청평면 상천리산93-2,1,37.770925,127.44898
경기도 가평군 청평면 호명리134,1,37.724754,127.464783
경기도 가평군 청평면 호명리130-19,1,37.725327,127.465469
경기도 가평군 청평면 호명리422,1,37.7258,127.465988
경기도 가평군 청평면 호명리110-1,1,37.726383,127.466118
경기도 가평군 청평면 호명리422,1,37.726989,127.466435
경기도 가평군 청평면 호명리105-2,1,37.727903,127.467336
경기도 가평군 청평면 호명리105-40,1,37.728762,127.467919
경기도 가평군 가평읍 대곡리273,1,37.826988,127.510956
경기도 가평군 가평읍 대곡리221-2,1,37.8237,127.515945
경기도 가평군 가평읍 대곡리221-2,1,37.823952,127.515808
경기도 가평군 가평읍 대곡리189-1,1,37.824326,127.515747
경기도 가평군 가평읍 읍내리325-2,1,37.8246,127.516258
경기도 가평군 가평읍 대곡리221,1,37.824295,127.516602
경기도 가평군 가평읍 대곡리226,1,37.825069,127.516937
경기도 가평군 가평읍 대곡리2-16,1,37.825195,127.517418
경기도 가평군 가평읍 대곡리1-1,1,37.825241,127.517944
경기도 가평군 가평읍 대곡리4-1,1,37.824059,127.518547
경기도 가평군 가평읍 대곡리산104,1,37.82431,127.51844
경기도 가평군 가평읍 대곡리2-5,1,37.824665,127.518257
경기도 가평군 가평읍 읍내리319-3,1,37.824978,127.518105
경기도 가평군 가평읍 대곡리10-1,1,37.824421,127.517151
경기도 가평군 가평읍 대곡리232-1,1,37.826302,127.515167
경기도 가평군 가평읍 대곡리231-16,1,37.826023,127.514732
경기도 가평군 가평읍 대곡리229-1,1,37.825832,127.514648
경기도 가평군 가평읍 대곡리229-1,1,37.825367,127.514687
경기도 가평군 가평읍 대곡리228,1,37.825897,127.515373
경기도 가평군 가평읍 대곡리639-5,1,37.825443,127.515533
경기도 가평군 가평읍 대곡리227,1,37.825119,127.515564
경기도 가평군 가평읍 대곡리168-9,1,37.824741,127.515183
경기도 가평군 가평읍 대곡리169-6,1,37.824436,127.515175
경기도 가평군 가평읍 대곡리644-2,1,37.824806,127.514679
경기도 가평군 가평읍 대곡리644-1,1,37.82468,127.514328
경기도 가평군 가평읍 대곡리166-6,1,37.824261,127.514595
경기도 가평군 가평읍 대곡리195-7,1,37.823811,127.515556
경기도 가평군 가평읍 대곡리189-5,1,37.823864,127.515289
경기도 가평군 가평읍 대곡리189,1,37.823811,127.515144
경기도 가평군 가평읍 대곡리196-3,1,37.823525,127.514977
경기도 가평군 가평읍 대곡리170-11,1,37.823803,127.514816
경기도 가평군 가평읍 대곡리171-1,1,37.823898,127.514229
경기도 가평군 가평읍 대곡리184-4,1,37.822849,127.514473
경기도 가평군 가평읍 대곡리186-2,1,37.823338,127.514458
경기도 가평군 가평읍 대곡리171-3,1,37.823734,127.514572
경기도 가평군 가평읍 대곡리195-3,1,37.823597,127.515526
경기도 가평군 가평읍 대곡리219-1,1,37.823448,127.515678
경기도 가평군 가평읍 대곡리219-5,1,37.822994,127.514946
경기도 가평군 가평읍 대곡리131-1,1,37.822296,127.514542
경기도 가평군 가평읍 대곡리131-2,1,37.822292,127.514938
경기도 가평군 가평읍 대곡리180-11,1,37.822323,127.514114
경기도 가평군 가평읍 대곡리148-18,1,37.822113,127.514252
경기도 가평군 가평읍 대곡리182-8,1,37.821953,127.513931
경기도 가평군 가평읍 대곡리183-1,1,37.821838,127.514046
경기도 가평군 가평읍 대곡리183-3,1,37.82148,127.513809
경기도 가평군 가평읍 대곡리132-6,1,37.821377,127.513435
경기도 가평군 가평읍 대곡리143-5,1,37.821613,127.513046
경기도 가평군 가평읍 두밀리611-3,1,37.810837,127.429916
경기도 가평군 가평읍 두밀리579,1,37.810925,127.429169
경기도 가평군 가평읍 두밀리576,1,37.810787,127.42807
경기도 가평군 가평읍 두밀리621-1,1,37.811314,127.427002
경기도 가평군 가평읍 두밀리266,1,37.81102,127.438179
경기도 가평군 가평읍 두밀리772,1,37.810555,127.437073
경기도 가평군 가평읍 두밀리547-1,1,37.810509,127.436585
경기도 가평군 가평읍 두밀리522-1,1,37.81102,127.43528
경기도 가평군 가평읍 두밀리547-2,1,37.80962,127.43631
경기도 가평군 가평읍 두밀리772-2,1,37.809467,127.43383
경기도 가평군 가평읍 하색리450-1,1,37.803532,127.489998
경기도 가평군 가평읍 하색리442-4,1,37.803791,127.49083
경기도 가평군 가평읍 하색리442-4,1,37.804058,127.49173
경기도 가평군 가평읍 하색리442-3,1,37.804207,127.492256
경기도 가평군 가평읍 하색리441-4,1,37.804379,127.492813
경기도 가평군 가평읍 하색리438-5,1,37.804573,127.493309
경기도 가평군 가평읍 하색리438-9,1,37.804829,127.493782
경기도 가평군 가평읍 하색리산103-6,1,37.805126,127.49424
경기도 가평군 가평읍 하색리산103-6,1,37.805431,127.494606
경기도 가평군 가평읍 하색리산103-6,1,37.805695,127.494949
경기도 가평군 가평읍 하색리산103-6,1,37.806057,127.495422
경기도 가평군 가평읍 하색리산103-6,1,37.806374,127.495812
경기도 가평군 가평읍 하색리산101-3,1,37.806694,127.496231
경기도 가평군 가평읍 하색리산101-3,1,37.807007,127.496613
경기도 가평군 가평읍 하색리227-2,1,37.807365,127.497002
경기도 가평군 가평읍 하색리227-2,1,37.807751,127.497276
경기도 가평군 가평읍 하색리229-2,1,37.808186,127.497475
경기도 가평군 가평읍 하색리230-1,1,37.808605,127.497551
경기도 가평군 가평읍 하색리231-2,1,37.80904,127.49762
경기도 가평군 가평읍 하색리231-2,1,37.809555,127.497688
경기도 가평군 가평읍 하색리245-3,1,37.810112,127.497757
경기도 가평군 가평읍 하색리245-3,1,37.810616,127.497826
경기도 가평군 가평읍 하색리264-1,1,37.810986,127.497887
경기도 가평군 가평읍 하색리265-5,1,37.81131,127.498009
경기도 가평군 가평읍 하색리267-4,1,37.811668,127.498222
경기도 가평군 가평읍 하색리223-1,1,37.809315,127.498947
경기도 가평군 가평읍 하색리868,1,37.809151,127.499573
경기도 가평군 가평읍 하색리211,1,37.807869,127.500153
경기도 가평군 가평읍 하색리182-2,1,37.806599,127.497215
경기도 가평군 가평읍 하색리921,1,37.807091,127.497917
경기도 가평군 가평읍 하색리169-5,1,37.80545,127.496132
경기도 가평군 가평읍 하색리166,1,37.804359,127.49501
경기도 가평군 가평읍 하색리454-4,1,37.804092,127.493065
경기도 가평군 가평읍 하색리151-11,1,37.80336,127.494019
경기도 가평군 가평읍 하색리151-12,1,37.802651,127.494583
경기도 가평군 가평읍 하색리151-4,1,37.801987,127.494492
경기도 가평군 가평읍 두밀리702,1,37.824005,127.449616
경기도 가평군 가평읍 두밀리74-3,1,37.823204,127.449219
경기도 가평군 가평읍 두밀리110-2,1,37.824741,127.447304
경기도 가평군 가평읍 두밀리131-3,1,37.824009,127.446083
경기도 가평군 가평읍 두밀리150-8,1,37.82296,127.446739
경기도 가평군 가평읍 두밀리132-3,1,37.823689,127.445396
경기도 가평군 가평읍 두밀리132-16,1,37.822861,127.445763
경기도 가평군 가평읍 두밀리산35-2,1,37.82547,127.445999
경기도 가평군 가평읍 두밀리363-1,1,37.826325,127.444092
경기도 가평군 가평읍 두밀리369-1,1,37.826786,127.443489
경기도 가평군 가평읍 두밀리368,1,37.827488,127.442691
경기도 가평군 가평읍 두밀리371-7,1,37.827644,127.44307
경기도 가평군 가평읍 두밀리377,1,37.827354,127.441093
경기도 가평군 가평읍 두밀리385,1,37.828083,127.438103
경기도 가평군 가평읍 두밀리441,1,37.829971,127.437683
경기도 가평군 가평읍 두밀리684,1,37.828407,127.436745
경기도 가평군 가평읍 두밀리681,1,37.828865,127.435555
경기도 가평군 가평읍 두밀리656,1,37.82954,127.434364
경기도 가평군 가평읍 두밀리42-2,1,37.816135,127.456078
경기도 가평군 가평읍 두밀리215-10,1,37.815308,127.455986
경기도 가평군 가평읍 두밀리210-2,1,37.816265,127.455078
경기도 가평군 가평읍 두밀리202-2,1,37.815548,127.452362
경기도 가평군 가평읍 두밀리190-3,1,37.814945,127.450615
경기도 가평군 가평읍 두밀리226-16,1,37.814083,127.448425
경기도 가평군 가평읍 대곡리92-5,1,37.819683,127.514624
경기도 가평군 가평읍 대곡리91-8,1,37.819839,127.515539
경기도 가평군 가평읍 대곡리678,1,37.819659,127.516005
경기도 가평군 가평읍 대곡리91-14,1,37.819812,127.516035
경기도 가평군 가평읍 대곡리100-5,1,37.819897,127.514951
경기도 가평군 가평읍 두밀리739-5,1,37.813675,127.44648
경기도 가평군 가평읍 두밀리241-2,1,37.813728,127.445442
경기도 가평군 가평읍 두밀리169-1,1,37.814438,127.445068
경기도 가평군 가평읍 두밀리164,1,37.814953,127.444069
경기도 가평군 가평읍 두밀리162-1,1,37.815682,127.443787
경기도 가평군 가평읍 두밀리337,1,37.816296,127.442642
경기도 가평군 가평읍 두밀리341-1,1,37.816601,127.442055
경기도 가평군 가평읍 두밀리335-9,1,37.816727,127.441277
경기도 가평군 가평읍 두밀리335-1,1,37.816788,127.440765
경기도 가평군 가평읍 두밀리335-14,1,37.816784,127.440407
경기도 가평군 가평읍 두밀리346,1,37.817654,127.440453
경기도 가평군 가평읍 하색리877,1,37.807488,127.483452
경기도 가평군 가평읍 하색리522,1,37.808228,127.483498
경기도 가평군 가평읍 하색리875,1,37.809113,127.48349
경기도 가평군 가평읍 하색리672,1,37.805992,127.482727
경기도 가평군 가평읍 하색리901,1,37.805874,127.481628
경기도 가평군 가평읍 하색리670-7,1,37.806488,127.481819
경기도 가평군 가평읍 하색리657-1,1,37.808018,127.478157
경기도 가평군 가평읍 하색리686,1,37.806889,127.47995
경기도 가평군 가평읍 하색리643-5,1,37.808846,127.478745
경기도 가평군 가평읍 하색리643-16,1,37.808209,127.479599
경기도 가평군 가평읍 하색리703-1,1,37.808243,127.477631
경기도 가평군 가평읍 하색리894,1,37.809528,127.475632
경기도 가평군 가평읍 하색리896,1,37.809765,127.476433
경기도 가평군 가평읍 하색리710-3,1,37.809635,127.477058
경기도 가평군 가평읍 하색리721-4,1,37.810078,127.47567
경기도 가평군 가평읍 하색리895,1,37.810471,127.474915
경기도 가평군 가평읍 하색리893,1,37.808754,127.475754
경기도 가평군 가평읍 하색리892-2,1,37.807587,127.476868
경기도 가평군 가평읍 하색리901-1,1,37.80695,127.477768
경기도 가평군 가평읍 상색리394-3,1,37.794888,127.473671
경기도 가평군 가평읍 상색리산71-3,1,37.792961,127.473953
경기도 가평군 가평읍 상색리산69-3,1,37.792755,127.47258
경기도 가평군 가평읍 상색리산68-3,1,37.792809,127.472
경기도 가평군 가평읍 상색리산68-3,1,37.792862,127.471436
경기도 가평군 가평읍 상색리산67-4,1,37.792934,127.470879
경기도 가평군 가평읍 상색리산67-4,1,37.792988,127.470329
경기도 가평군 가평읍 상색리산67-3,1,37.793053,127.469765
경기도 가평군 가평읍 상색리382-3,1,37.793133,127.469208
경기도 가평군 가평읍 상색리382-4,1,37.793186,127.468895
경기도 가평군 가평읍 상색리509-10,1,37.793626,127.467278
경기도 가평군 가평읍 상색리509-15,1,37.793098,127.46695
경기도 가평군 가평읍 상색리382-7,1,37.793289,127.468468
경기도 가평군 가평읍 상색리379-3,1,37.793209,127.468308
경기도 가평군 가평읍 상색리379-3,1,37.793224,127.468056
경기도 가평군 가평읍 상색리379-3,1,37.793152,127.467751
경기도 가평군 상면 항사리133-8,1,37.790073,127.370476
경기도 가평군 가평읍 상색리379-3,1,37.793102,127.467476
경기도 가평군 가평읍 상색리379-3,1,37.793007,127.467209
경기도 가평군 가평읍 상색리378,1,37.792877,127.466988
경기도 가평군 가평읍 상색리509-16,1,37.792736,127.466759
경기도 가평군 가평읍 상색리산62,1,37.792152,127.466248
경기도 가평군 가평읍 상색리378,1,37.79229,127.466476
경기도 가평군 가평읍 상색리378,1,37.792427,127.466698
경기도 가평군 가평읍 상색리378,1,37.792572,127.466927
경기도 가평군 가평읍 상색리산58-1,1,37.792088,127.471954
경기도 가평군 가평읍 상색리373,1,37.790813,127.470604
경기도 가평군 가평읍 상색리산53-2,1,37.790009,127.470123
경기도 가평군 가평읍 상색리산53-1,1,37.790115,127.469505
경기도 가평군 가평읍 상색리366-1,1,37.78981,127.469177
경기도 가평군 가평읍 상색리366-1,1,37.789345,127.469589
경기도 가평군 가평읍 상색리산51-3,1,37.788506,127.469238
경기도 가평군 가평읍 상색리345,1,37.792667,127.473679
경기도 가평군 가평읍 상색리산71-3,1,37.792816,127.474167
경기도 가평군 가평읍 상색리산72-3,1,37.793026,127.474632
경기도 가평군 가평읍 상색리593,1,37.79327,127.475067
경기도 가평군 가평읍 상색리409-1,1,37.793537,127.475441
경기도 가평군 가평읍 상색리407,1,37.793812,127.475868
경기도 가평군 가평읍 상색리407,1,37.794067,127.476273
경기도 가평군 가평읍 상색리407,1,37.794365,127.476708
경기도 가평군 가평읍 상색리319-3,1,37.794685,127.477203
경기도 가평군 가평읍 상색리317-5,1,37.795265,127.478104
경기도 가평군 가평읍 상색리312-2,1,37.795734,127.47889
경기도 가평군 가평읍 상색리312-1,1,37.796166,127.479576
경기도 가평군 가평읍 상색리304-1,1,37.796436,127.480011
경기도 가평군 가평읍 상색리322-6,1,37.796074,127.481094
경기도 가평군 가평읍 상색리34-3,1,37.79641,127.481834
경기도 가평군 가평읍 상색리73-3,1,37.803158,127.492203
경기도 가평군 가평읍 상색리73-11,1,37.802872,127.491501
경기도 가평군 가평읍 상색리528,1,37.803078,127.49118
경기도 가평군 가평읍 상색리528,1,37.803029,127.491071
경기도 가평군 가평읍 상색리83-2,1,37.802812,127.491007
경기도 가평군 가평읍 상색리83-2,1,37.802453,127.490856
경기도 가평군 가평읍 상색리528-9,1,37.801872,127.490624
경기도 가평군 가평읍 상색리528-9,1,37.801682,127.490227
경기도 가평군 가평읍 상색리78-5,1,37.80154,127.489655
경기도 가평군 가평읍 상색리78-3,1,37.801537,127.489143
경기도 가평군 가평읍 상색리120-5,1,37.801632,127.488673
경기도 가평군 가평읍 상색리538-5,1,37.801435,127.488138
경기도 가평군 가평읍 상색리538-5,1,37.800922,127.487602
경기도 가평군 가평읍 상색리123-5,1,37.800938,127.487755
경기도 가평군 청평면 청평리705-6,1,37.72769,127.411073
경기도 가평군 청평면 청평리827,1,37.727585,127.410656
경기도 가평군 청평면 청평리산13-10,1,37.727649,127.418052
경기도 가평군 청평면 청평리산13-10,1,37.727641,127.418438
경기도 가평군 청평면 상천리1697,1,37.776556,127.456657
경기도 가평군 청평면 청평리산13-10,1,37.727629,127.41882
경기도 가평군 청평면 청평리59-2,1,37.727586,127.419447
경기도 가평군 청평면 청평리산13-7,1,37.727541,127.420085
경기도 가평군 상면 항사리29,1,37.797295,127.395836
경기도 가평군 청평면 청평리산13-7,1,37.724777,127.458901
경기도 가평군 청평면 청평리산13-16,1,37.727284,127.421745
경기도 가평군 청평면 청평리산13-16,1,37.727234,127.422646
경기도 가평군 청평면 청평리산13-17,1,37.727165,127.423241
경기도 가평군 청평면 청평리산13-16,1,37.727066,127.423843
경기도 가평군 청평면 청평리산13-16,1,37.726948,127.424454
경기도 가평군 청평면 청평리산13-16,1,37.726822,127.424934
경기도 가평군 청평면 상천리1697,1,37.77713,127.456063
