std_yy,sigun_nm,sigun_cd,emd_nm,regist_animal_cnt,animal_owner_cnt,data_std_de
2024,가평군,41820,가평군,7428,4537,20260520
2023,가평군,41820,가평군,7225,4426,20260520
2022,가평군,41820,가평군,6694,4552,20260520
2021,가평군,41820,가평군,5760,3604,20260520
2020,가평군,41820,가평군,4532,2877,20260520
2026,가평군,41820,가평읍,2082,1337,20260520
2025,가평군,41820,가평읍,1946,1265,20260520
2024,가평군,41820,가평읍,1806,1169,20260520
2023,가평군,41820,가평읍,1758,1143,20260520
2022,가평군,41820,가평읍,1606,1067,20260520
2021,가평군,41820,가평읍,1350,911,20260520
2020,가평군,41820,가평읍,1038,716,20260520
2026,가평군,41820,북면,564,324,20260520
2025,가평군,41820,북면,527,310,20260520
2024,가평군,41820,북면,496,294,20260520
2023,가평군,41820,북면,486,291,20260520
2022,가평군,41820,북면,466,281,20260520
2021,가평군,41820,북면,415,256,20260520
2020,가평군,41820,북면,338,210,20260520
2026,가평군,41820,상면,1012,585,20260520
2025,가평군,41820,상면,955,559,20260520
2024,가평군,41820,상면,910,528,20260520
2023,가평군,41820,상면,876,510,20260520
2022,가평군,41820,상면,812,481,20260520
2021,가평군,41820,상면,665,398,20260520
2020,가평군,41820,상면,484,297,20260520
2026,가평군,41820,설악면,1879,1056,20260520
2025,가평군,41820,설악면,1825,1029,20260520
2024,가평군,41820,설악면,1760,1002,20260520
2023,가평군,41820,설악면,1710,974,20260520
2022,가평군,41820,설악면,1606,918,20260520
2021,가평군,41820,설악면,1413,802,20260520
2020,가평군,41820,설악면,1213,687,20260520
2026,가평군,41820,조종면,998,626,20260520
2025,가평군,41820,조종면,861,523,20260520
2024,가평군,41820,조종면,928,576,20260520
2023,가평군,41820,조종면,899,556,20260520
2022,가평군,41820,조종면,700,432,20260520
2021,가평군,41820,조종면,559,352,20260520
2020,가평군,41820,조종면,379,245,20260520
2026,가평군,41820,청평면,1706,1063,20260520
2025,가평군,41820,청평면,1615,1019,20260520
2024,가평군,41820,청평면,1528,968,20260520
2023,가평군,41820,청평면,1496,952,20260520
2022,가평군,41820,청평면,1504,1373,20260520
2021,가평군,41820,청평면,1358,885,20260520
2020,가평군,41820,청평면,1080,722,20260520
2025,가평군,41820,하면,113,72,20260520
2025,가평군,41820,합계,7842,4777,20260520
2023,고양시,41280,가좌동,1469,1001,20230909
2022,고양시,41280,가좌동,118,79,20230909
2021,고양시,41280,가좌동,268,208,20230909
2020,고양시,41280,가좌동,98,69,20230909
2023,고양시,41280,강매동,62,29,20230909
2021,고양시,41280,강매동,29,8,20230909
2020,고양시,41280,강매동,2,2,20230909
2023,고양시,41280,고양동,1744,1287,20230909
2022,고양시,41280,고양동,187,161,20230909
2021,고양시,41280,고양동,268,231,20230909
2020,고양시,41280,고양동,152,138,20230909
2023,고양시,41280,관산동,1348,961,20230909
2022,고양시,41280,관산동,130,108,20230909
2021,고양시,41280,관산동,244,197,20230909
2020,고양시,41280,관산동,118,88,20230909
2023,고양시,41280,구산동,164,97,20230909
2022,고양시,41280,구산동,21,14,20230909
2021,고양시,41280,구산동,22,18,20230909
2020,고양시,41280,구산동,8,8,20230909
2023,고양시,41280,내곡동,89,58,20230909
2022,고양시,41280,내곡동,8,6,20230909
2021,고양시,41280,내곡동,20,16,20230909
2020,고양시,41280,내곡동,6,4,20230909
2023,고양시,41280,내유동,1406,949,20230909
2022,고양시,41280,내유동,179,148,20230909
2021,고양시,41280,내유동,285,220,20230909
2020,고양시,41280,내유동,129,110,20230909
2023,고양시,41280,대자동,189,128,20230909
2022,고양시,41280,대자동,17,13,20230909
2021,고양시,41280,대자동,40,33,20230909
2020,고양시,41280,대자동,21,19,20230909
2023,고양시,41280,대장동,117,88,20230909
2022,고양시,41280,대장동,14,14,20230909
2021,고양시,41280,대장동,27,18,20230909
2020,고양시,41280,대장동,8,8,20230909
2023,고양시,41280,대화동,4428,3207,20230909
2022,고양시,41280,대화동,499,326,20230909
2021,고양시,41280,대화동,702,601,20230909
2020,고양시,41280,대화동,322,284,20230909
2023,고양시,41280,덕은동,243,166,20230909
2022,고양시,41280,덕은동,25,21,20230909
2021,고양시,41280,덕은동,21,20,20230909
2020,고양시,41280,덕은동,25,19,20230909
2023,고양시,41280,덕이동,2774,1828,20230909
2022,고양시,41280,덕이동,298,235,20230909
2021,고양시,41280,덕이동,566,424,20230909
2020,고양시,41280,덕이동,257,203,20230909
2023,고양시,41280,도내동,1209,918,20230909
2022,고양시,41280,도내동,161,143,20230909
2021,고양시,41280,도내동,256,232,20230909
2020,고양시,41280,도내동,114,105,20230909
2023,고양시,41280,동산동,1457,816,20230909
2022,고양시,41280,동산동,153,131,20230909
2021,고양시,41280,동산동,251,223,20230909
2020,고양시,41280,동산동,114,100,20230909
2023,고양시,41280,마두동,3060,2417,20230909
2022,고양시,41280,마두동,202,184,20230909
2021,고양시,41280,마두동,402,363,20230909
2020,고양시,41280,마두동,173,156,20230909
2023,고양시,41280,문봉동,160,105,20230909
2022,고양시,41280,문봉동,17,17,20230909
2021,고양시,41280,문봉동,37,20,20230909
2020,고양시,41280,문봉동,11,10,20230909
2023,고양시,41280,백석동,4708,3452,20230909
2022,고양시,41280,백석동,404,340,20230909
2021,고양시,41280,백석동,698,580,20230909
2020,고양시,41280,백석동,312,265,20230909
2023,고양시,41280,법곳동,140,91,20230909
2022,고양시,41280,법곳동,23,15,20230909
2021,고양시,41280,법곳동,33,21,20230909
2020,고양시,41280,법곳동,10,8,20230909
2023,고양시,41280,벽제동,289,157,20230909
2022,고양시,41280,벽제동,29,26,20230909
2021,고양시,41280,벽제동,70,38,20230909
2020,고양시,41280,벽제동,46,13,20230909
2023,고양시,41280,북한동,6,4,20230909
2022,고양시,41280,북한동,1,1,20230909
2023,고양시,41280,사리현동,582,387,20230909
2022,고양시,41280,사리현동,68,55,20230909
2021,고양시,41280,사리현동,96,70,20230909
2020,고양시,41280,사리현동,43,39,20230909
2023,고양시,41280,산황동,35,26,20230909
2022,고양시,41280,산황동,4,3,20230909
2021,고양시,41280,산황동,3,3,20230909
2020,고양시,41280,산황동,4,3,20230909
2023,고양시,41280,삼송동,1539,1072,20230909
2022,고양시,41280,삼송동,202,152,20230909
2021,고양시,41280,삼송동,331,278,20230909
2020,고양시,41280,삼송동,152,130,20230909
2023,고양시,41280,선유동,85,23,20230909
2022,고양시,41280,선유동,4,4,20230909
2021,고양시,41280,선유동,14,4,20230909
2020,고양시,41280,선유동,29,2,20230909
2023,고양시,41280,설문동,312,171,20230909
2022,고양시,41280,설문동,32,27,20230909
2021,고양시,41280,설문동,47,42,20230909
2020,고양시,41280,설문동,11,8,20230909
2023,고양시,41280,성사동,2239,1641,20230909
2022,고양시,41280,성사동,239,150,20230909
2021,고양시,41280,성사동,341,295,20230909
2020,고양시,41280,성사동,153,139,20230909
2023,고양시,41280,성석동,1189,719,20230909
2022,고양시,41280,성석동,136,97,20230909
2021,고양시,41280,성석동,216,176,20230909
2020,고양시,41280,성석동,103,81,20230909
2023,고양시,41280,식사동,3318,2506,20230909
2022,고양시,41280,식사동,382,341,20230909
2021,고양시,41280,식사동,542,480,20230909
2020,고양시,41280,식사동,267,231,20230909
2023,고양시,41280,신원동,1295,972,20230909
2022,고양시,41280,신원동,123,107,20230909
2021,고양시,41280,신원동,279,246,20230909
2020,고양시,41280,신원동,112,103,20230909
2023,고양시,41280,신평동,19,9,20230909
2022,고양시,41280,신평동,1,1,20230909
2020,고양시,41280,신평동,2,1,20230909
2023,고양시,41280,오금동,178,123,20230909
2022,고양시,41280,오금동,40,36,20230909
2021,고양시,41280,오금동,50,41,20230909
2020,고양시,41280,오금동,14,13,20230909
2023,고양시,41280,용두동,157,93,20230909
2022,고양시,41280,용두동,11,8,20230909
2021,고양시,41280,용두동,39,22,20230909
2020,고양시,41280,용두동,13,11,20230909
2023,고양시,41280,원당동,154,93,20230909
2022,고양시,41280,원당동,34,21,20230909
2021,고양시,41280,원당동,35,21,20230909
2020,고양시,41280,원당동,18,17,20230909
2023,고양시,41280,원흥동,1446,1053,20230909
2022,고양시,41280,원흥동,201,179,20230909
2021,고양시,41280,원흥동,314,263,20230909
2020,고양시,41280,원흥동,138,111,20230909
2023,고양시,41280,일산동,5283,4208,20230909
2022,고양시,41280,일산동,404,356,20230909
2021,고양시,41280,일산동,756,670,20230909
2020,고양시,41280,일산동,427,369,20230909
2023,고양시,41280,장항동,4461,2889,20230909
2022,고양시,41280,장항동,559,391,20230909
2021,고양시,41280,장항동,809,564,20230909
2020,고양시,41280,장항동,382,262,20230909
2023,고양시,41280,정발산동,2173,1596,20230909
2022,고양시,41280,정발산동,191,162,20230909
2021,고양시,41280,정발산동,288,240,20230909
2020,고양시,41280,정발산동,134,114,20230909
2023,고양시,41280,주교동,1429,1057,20230909
2022,고양시,41280,주교동,130,109,20230909
2021,고양시,41280,주교동,247,199,20230909
2020,고양시,41280,주교동,75,68,20230909
2023,고양시,41280,주엽동,3916,3097,20230909
2022,고양시,41280,주엽동,324,268,20230909
2021,고양시,41280,주엽동,515,447,20230909
2020,고양시,41280,주엽동,265,236,20230909
2023,고양시,41280,중산동,3458,2618,20230909
2022,고양시,41280,중산동,291,241,20230909
2021,고양시,41280,중산동,533,473,20230909
2020,고양시,41280,중산동,241,209,20230909
2023,고양시,41280,지영동,62,44,20230909
2022,고양시,41280,지영동,8,6,20230909
2021,고양시,41280,지영동,16,13,20230909
2020,고양시,41280,지영동,8,6,20230909
2023,고양시,41280,지축동,649,460,20230909
2022,고양시,41280,지축동,123,104,20230909
2021,고양시,41280,지축동,158,118,20230909
2020,고양시,41280,지축동,71,61,20230909
2023,고양시,41280,탄현동,3950,3067,20230909
2022,고양시,41280,탄현동,338,301,20230909
2021,고양시,41280,탄현동,635,554,20230909
2020,고양시,41280,탄현동,307,273,20230909
2023,고양시,41280,토당동,2824,1723,20230909
2022,고양시,41280,토당동,279,158,20230909
2021,고양시,41280,토당동,508,319,20230909
2020,고양시,41280,토당동,284,118,20230909
2023,고양시,41280,풍동,2954,2268,20230909
2022,고양시,41280,풍동,204,177,20230909
2021,고양시,41280,풍동,447,388,20230909
2020,고양시,41280,풍동,187,167,20230909
2023,고양시,41280,합계,80945,59256,20230909
2023,고양시,41280,행신동,6193,4948,20230909
2022,고양시,41280,행신동,488,443,20230909
2021,고양시,41280,행신동,991,875,20230909
2020,고양시,41280,행신동,466,421,20230909
2023,고양시,41280,행주내동,87,65,20230909
2022,고양시,41280,행주내동,9,7,20230909
2021,고양시,41280,행주내동,18,17,20230909
2020,고양시,41280,행주내동,4,3,20230909
2023,고양시,41280,행주외동,55,35,20230909
2022,고양시,41280,행주외동,7,6,20230909
2021,고양시,41280,행주외동,8,7,20230909
2023,고양시,41280,향동동,813,608,20230909
2022,고양시,41280,향동동,159,144,20230909
2021,고양시,41280,향동동,221,197,20230909
2020,고양시,41280,향동동,104,94,20230909
2023,고양시,41280,현천동,129,72,20230909
2022,고양시,41280,현천동,6,4,20230909
2021,고양시,41280,현천동,29,17,20230909
2020,고양시,41280,현천동,6,6,20230909
2023,고양시,41280,화전동,256,164,20230909
2022,고양시,41280,화전동,21,17,20230909
2021,고양시,41280,화전동,41,33,20230909
2020,고양시,41280,화전동,30,25,20230909
2023,고양시,41280,화정동,4605,3666,20230909
2022,고양시,41280,화정동,421,358,20230909
2021,고양시,41280,화정동,565,509,20230909
2020,고양시,41280,화정동,322,284,20230909
2023,고양시,41280,효자동,38,24,20230909
2022,고양시,41280,효자동,8,6,20230909
2021,고양시,41280,효자동,9,5,20230909
2020,고양시,41280,효자동,3,2,20230909
2023,과천시,41290,갈현동,192,128,20250905
2022,과천시,41290,갈현동,27,24,20250905
2021,과천시,41290,갈현동,19,17,20250905
2020,과천시,41290,갈현동,7,6,20250905
2023,과천시,41290,과천동,288,181,20250905
2022,과천시,41290,과천동,16,12,20250905
2021,과천시,41290,과천동,93,67,20250905
2020,과천시,41290,과천동,32,24,20250905
2023,과천시,41290,관문동,2,2,20250905
2021,과천시,41290,관문동,1,1,20250905
2020,과천시,41290,관문동,1,1,20250905
2023,과천시,41290,막계동,8,4,20250905
2021,과천시,41290,막계동,4,3,20250905
2023,과천시,41290,문원동,236,152,20250905
2022,과천시,41290,문원동,32,27,20250905
2021,과천시,41290,문원동,62,55,20250905
2020,과천시,41290,문원동,37,33,20250905
2023,과천시,41290,별양동,462,294,20250905
2022,과천시,41290,별양동,69,58,20250905
2021,과천시,41290,별양동,127,113,20250905
2020,과천시,41290,별양동,41,40,20250905
2023,과천시,41290,부림동,352,216,20250905
2022,과천시,41290,부림동,51,43,20250905
2021,과천시,41290,부림동,106,94,20250905
2020,과천시,41290,부림동,29,27,20250905
2023,과천시,41290,원문동,375,233,20250905
2022,과천시,41290,원문동,51,50,20250905
2021,과천시,41290,원문동,91,83,20250905
2020,과천시,41290,원문동,40,32,20250905
2023,과천시,41290,주암동,125,85,20250905
2022,과천시,41290,주암동,16,12,20250905
2021,과천시,41290,주암동,51,39,20250905
2020,과천시,41290,주암동,15,13,20250905
2023,과천시,41290,중앙동,442,264,20250905
2022,과천시,41290,중앙동,64,40,20250905
2021,과천시,41290,중앙동,120,87,20250905
2020,과천시,41290,중앙동,47,33,20250905
2025,광명시,41210,가학동,106,70,20250527
2025,광명시,41210,광명동,6024,4712,20250527
2025,광명시,41210,노온사동,112,71,20250527
2025,광명시,41210,소하동,4583,3620,20250527
2025,광명시,41210,옥길동,38,30,20250527
2025,광명시,41210,일직동,1183,906,20250527
2025,광명시,41210,철산동,4662,3765,20250527
2025,광명시,41210,하안동,4939,3915,20250527
2025,광명시,41210,합계,21647,17089,20250527
2024,광주시,41610,경안동,1224,864,20250721
2023,광주시,41610,경안동,122,102,20250721
2022,광주시,41610,경안동,122,102,20250721
2021,광주시,41610,경안동,169,119,20250721
2020,광주시,41610,경안동,116,92,20250721
2024,광주시,41610,고산동,281,177,20250721
2023,광주시,41610,고산동,16,15,20250721
2022,광주시,41610,고산동,16,15,20250721
2021,광주시,41610,고산동,5,5,20250721
2020,광주시,41610,고산동,3,3,20250721
